"postal_code","geographic_unit_name","geographic_unit_fips","results","county_fips"
"GA","Appling","13001",7012,"13001"
"GA","Atkinson","13003",2610,"13003"
"GA","Bacon","13005",4020,"13005"
"GA","Baker","13007",1440,"13007"
"GA","Baldwin","13009",16116,"13009"
"GA","Banks","13011",6975,"13011"
"GA","Barrow","13013",29060,"13013"
"GA","Bartow","13015",39550,"13015"
"GA","Ben Hill","13017",5936,"13017"
"GA","Berrien","13019",6590,"13019"
"GA","Bibb","13021",62596,"13021"
"GA","Bleckley","13023",4974,"13023"
"GA","Brantley","13025",6301,"13025"
"GA","Brooks","13027",6336,"13027"
"GA","Bryan","13029",15173,"13029"
"GA","Bulloch","13031",25316,"13031"
"GA","Burke","13033",9351,"13033"
"GA","Butts","13035",9514,"13035"
"GA","Calhoun","13037",2025,"13037"
"GA","Camden","13039",18901,"13039"
"GA","Candler","13043",3763,"13043"
"GA","Carroll","13045",44121,"13045"
"GA","Catoosa","13047",26757,"13047"
"GA","Charlton","13049",4016,"13049"
"GA","Chatham","13051",112142,"13051"
"GA","Chattahoochee","13053",1390,"13053"
"GA","Chattooga","13055",8252,"13055"
"GA","Cherokee","13057",112043,"13057"
"GA","Clarke","13059",44976,"13059"
"GA","Clay","13061",1273,"13061"
"GA","Clayton","13063",92859,"13063"
"GA","Clinch","13065",2455,"13065"
"GA","Cobb","13067",330819,"13067"
"GA","Coffee","13069",13915,"13069"
"GA","Colquitt","13071",13624,"13071"
"GA","Columbia","13073",64743,"13073"
"GA","Cook","13075",6057,"13075"
"GA","Coweta","13077",61745,"13077"
"GA","Crawford","13079",5176,"13079"
"GA","Crisp","13081",7512,"13081"
"GA","Dade","13083",6242,"13083"
"GA","Dawson","13085",11765,"13085"
"GA","Decatur","13087",10286,"13087"
"GA","DeKalb","13089",314757,"13089"
"GA","Dodge","13091",7009,"13091"
"GA","Dooly","13093",3859,"13093"
"GA","Dougherty","13095",34087,"13095"
"GA","Douglas","13097",57738,"13097"
"GA","Early","13099",4785,"13099"
"GA","Echols","13101",1182,"13101"
"GA","Effingham","13103",23458,"13103"
"GA","Elbert","13105",7987,"13105"
"GA","Emanuel","13107",7860,"13107"
"GA","Evans","13109",3613,"13109"
"GA","Fannin","13111",11812,"13111"
"GA","Fayette","13113",60913,"13113"
"GA","Floyd","13115",34608,"13115"
"GA","Forsyth","13117",98221,"13117"
"GA","Franklin","13119",8502,"13119"
"GA","Fulton","13121",431391,"13121"
"GA","Gilmer","13123",12773,"13123"
"GA","Glascock","13125",1390,"13125"
"GA","Glynn","13127",34263,"13127"
"GA","Gordon","13129",18959,"13129"
"GA","Grady","13131",9213,"13131"
"GA","Greene","13133",8852,"13133"
"GA","Gwinnett","13135",328331,"13135"
"GA","Habersham","13137",16243,"13137"
"GA","Hall","13139",70694,"13139"
"GA","Hancock","13141",3580,"13141"
"GA","Haralson","13143",11357,"13143"
"GA","Harris","13145",16502,"13145"
"GA","Hart","13147",10117,"13147"
"GA","Heard","13149",4223,"13149"
"GA","Henry","13151",98766,"13151"
"GA","Houston","13153",60079,"13153"
"GA","Irwin","13155",3670,"13155"
"GA","Jackson","13157",27190,"13157"
"GA","Jasper","13159",6045,"13159"
"GA","Jeff Davis","13161",5096,"13161"
"GA","Jefferson","13163",6968,"13163"
"GA","Jenkins","13165",3056,"13165"
"GA","Johnson","13167",3686,"13167"
"GA","Jones","13169",12551,"13169"
"GA","Lamar","13171",7612,"13171"
"GA","Lanier","13173",2871,"13173"
"GA","Laurens","13175",19530,"13175"
"GA","Lee","13177",14143,"13177"
"GA","Liberty","13179",16143,"13179"
"GA","Lincoln","13181",4102,"13181"
"GA","Long","13183",4117,"13183"
"GA","Lowndes","13185",37805,"13185"
"GA","Lumpkin","13187",12425,"13187"
"GA","McDuffie","13189",9268,"13189"
"GA","McIntosh","13191",5903,"13191"
"GA","Macon","13193",4287,"13193"
"GA","Madison","13195",11998,"13195"
"GA","Marion","13197",3190,"13197"
"GA","Meriwether","13199",9217,"13199"
"GA","Miller","13201",2544,"13201"
"GA","Mitchell","13205",7880,"13205"
"GA","Monroe","13207",12687,"13207"
"GA","Montgomery","13209",3576,"13209"
"GA","Morgan","13211",9475,"13211"
"GA","Murray","13213",12458,"13213"
"GA","Muscogee","13215",69032,"13215"
"GA","Newton","13217",43987,"13217"
"GA","Oconee","13219",20149,"13219"
"GA","Oglethorpe","13221",6674,"13221"
"GA","Paulding","13223",64890,"13223"
"GA","Peach","13225",10752,"13225"
"GA","Pickens","13227",14038,"13227"
"GA","Pierce","13229",7311,"13229"
"GA","Pike","13231",8725,"13231"
"GA","Polk","13233",14215,"13233"
"GA","Pulaski","13235",3605,"13235"
"GA","Putnam","13237",9488,"13237"
"GA","Quitman","13239",1044,"13239"
"GA","Rabun","13241",7992,"13241"
"GA","Randolph","13243",2899,"13243"
"GA","Richmond","13245",75515,"13245"
"GA","Rockdale","13247",37869,"13247"
"GA","Schley","13249",1909,"13249"
"GA","Screven","13251",5715,"13251"
"GA","Seminole","13253",3588,"13253"
"GA","Spalding","13255",25704,"13255"
"GA","Stephens","13257",9815,"13257"
"GA","Stewart","13259",2058,"13259"
"GA","Sumter","13261",10974,"13261"
"GA","Talbot","13263",3246,"13263"
"GA","Taliaferro","13265",897,"13265"
"GA","Tattnall","13267",6903,"13267"
"GA","Taylor","13269",3408,"13269"
"GA","Telfair","13271",3796,"13271"
"GA","Terrell","13273",4189,"13273"
"GA","Thomas","13275",18802,"13275"
"GA","Tift","13277",14219,"13277"
"GA","Toombs","13279",9138,"13279"
"GA","Towns","13281",6764,"13281"
"GA","Treutlen","13283",2703,"13283"
"GA","Troup","13285",26111,"13285"
"GA","Turner","13287",3398,"13287"
"GA","Twiggs","13289",4059,"13289"
"GA","Union","13291",12063,"13291"
"GA","Upson","13293",10934,"13293"
"GA","Walker","13295",23956,"13295"
"GA","Walton","13297",40698,"13297"
