"postal_code","geographic_unit_name","geographic_unit_fips","results","county_fips"
"GA","Worth","13321",8419,"13321"
"KS","Allen","20001",5310,"20001"
"KS","Anderson","20003",3315,"20003"
"KS","Atchison","20005",6674,"20005"
"KS","Barber","20007",2314,"20007"
"KS","Barton","20009",10341,"20009"
"KS","Bourbon","20011",6254,"20011"
"KS","Brown","20013",3993,"20013"
"KS","Butler","20015",26085,"20015"
"KS","Chase","20017",1271,"20017"
"KS","Chautauqua","20019",1630,"20019"
"KS","Cherokee","20021",8571,"20021"
"KS","Cheyenne","20023",1426,"20023"
"KS","Clark","20025",1017,"20025"
"KS","Clay","20027",3686,"20027"
"KS","Cloud","20029",4058,"20029"
"KS","Coffey","20031",3906,"20031"
"KS","Comanche","20033",928,"20033"
"KS","Cowley","20035",12710,"20035"
"KS","Crawford","20037",14945,"20037"
"KS","Decatur","20039",1532,"20039"
"KS","Dickinson","20041",8042,"20041"
"KS","Doniphan","20043",3403,"20043"
"KS","Douglas","20045",48145,"20045"
"KS","Edwards","20047",1385,"20047"
"KS","Elk","20049",1369,"20049"
"KS","Ellis","20051",11714,"20051"
"KS","Ellsworth","20053",2712,"20053"
"KS","Finney","20055",9084,"20055"
"KS","Ford","20057",8362,"20057"
"KS","Franklin","20059",10990,"20059"
"KS","Geary","20061",7845,"20061"
"KS","Gove","20063",1383,"20063"
"KS","Graham","20065",1340,"20065"
"KS","Grant","20067",2306,"20067"
"KS","Gray","20069",1958,"20069"
"KS","Greeley","20071",670,"20071"
"KS","Greenwood","20073",2123,"20073"
"KS","Hamilton","20075",877,"20075"
"KS","Harper","20077",2389,"20077"
"KS","Harvey","20079",14294,"20079"
"KS","Haskell","20081",1396,"20081"
"KS","Hodgeman","20083",1060,"20083"
"KS","Jackson","20085",5561,"20085"
"KS","Jefferson","20087",8013,"20087"
"KS","Jewell","20089",1497,"20089"
"KS","Johnson","20091",274365,"20091"
"KS","Kearny","20093",1386,"20093"
"KS","Kingman","20095",3231,"20095"
"KS","Kiowa","20097",1144,"20097"
"KS","Labette","20099",8037,"20099"
"KS","Lane","20101",928,"20101"
"KS","Leavenworth","20103",29085,"20103"
"KS","Lincoln","20105",1483,"20105"
"KS","Linn","20107",4467,"20107"
"KS","Logan","20109",1350,"20109"
"KS","Lyon","20111",11875,"20111"
"KS","McPherson","20113",12297,"20113"
"KS","Marion","20115",5409,"20115"
"KS","Marshall","20117",4773,"20117"
"KS","Meade","20119",1709,"20119"
"KS","Miami","20121",14856,"20121"
"KS","Mitchell","20123",2965,"20123"
"KS","Montgomery","20125",12417,"20125"
"KS","Morris","20127",2562,"20127"
"KS","Morton","20129",1278,"20129"
"KS","Nemaha","20131",5026,"20131"
"KS","Neosho","20133",6480,"20133"
"KS","Ness","20135",1444,"20135"
"KS","Norton","20137",2325,"20137"
"KS","Osage","20139",6906,"20139"
"KS","Osborne","20141",1838,"20141"
"KS","Ottawa","20143",2933,"20143"
"KS","Pawnee","20145",2608,"20145"
"KS","Phillips","20147",2565,"20147"
"KS","Pottawatomie","20149",9479,"20149"
"KS","Pratt","20151",3801,"20151"
"KS","Rawlins","20153",1444,"20153"
"KS","Reno","20155",24422,"20155"
"KS","Republic","20157",2686,"20157"
"KS","Rice","20159",3681,"20159"
"KS","Riley","20161",21101,"20161"
"KS","Rooks","20163",2460,"20163"
"KS","Rush","20165",1570,"20165"
"KS","Russell","20167",3200,"20167"
"KS","Saline","20169",21496,"20169"
"KS","Scott","20171",2052,"20171"
"KS","Sedgwick","20173",182895,"20173"
"KS","Seward","20175",5176,"20175"
